CODINT_0;flags;Désignation;options_exist
GESRCS;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Factures périodiques fourn;CMS
GESRLK;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Relevé bancaire;CMS
GESROT;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Opérations standard;CMS
GESROU;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Gestion des gammes;CMS
GESROW;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Cas d'emploi gammes;CMS
GESRTZ;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Gestion des retenues;CMS
GESSCS;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Changements stock;CMS
GESSNX;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Sessions inventaires;CMS
GESSOR;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Gestion des commandes ouvertes;CMS
GESSPL;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Saisie des tarifs;CMS
GESSST;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Transferts sous-traitants;CMS
GESSTE;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Paramètres stocks;CMS
GESSTR;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Retours sous-traitants;CMS
GESTAM;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Modes de règlement;CMS
GESTBO;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Alternatives nomenclature;CMS
GESTCM;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Méthodes de valorisation;CMS
GESTCO;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Conversions d'unités;CMS
GESTCT;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Réponses;CMS
GESTCU;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Devises;CMS
GESTCY;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Pays;CMS
GESTKI;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Suivi OF;CMS
GESTLA;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Langues;CMS
GESTLO;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Types emplacements;CMS
GESTMD;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Modes livraisons;CMS
GESTMS;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Messages;CMS
GESTPA;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Emballages;CMS
GESTPT;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Conditions paiement;CMS
GESTRO;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Alternatives gammes;CMS
GESTRP;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Politiques de réapprovisionnement;CMS
GESTRU;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Règles d'allocations / sorties;CMS
GESTSR;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Rebuts;CMS
GESTST;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Statuts stock;CMS
GESTUN;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Unités;CMS
GESTUV;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Périodes d'indisponibilité;CMS
GESTWC;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Centres de charge;CMS
GESYAV;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Gestion Avis;CMS
GESYBH;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Bordereaux de transmission;CMS
GESYCO;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Code comptable automatique;CMS
GESYDEM;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Demande Chiffrage;CMS
GESYFI;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Gestion des fiches inventaire;CMS
GESYFP;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Saisie des fiches inventaire;CMS
GESYPH;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Réception factures;CMS
GESYRS;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Retenue à la source;CMS
GESYSI;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Fiche chiffrage;CMS
GESYSIM;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Chiffrage;CMS
GESYSIM1;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Chiffrage test;CMS
IMPAYE;{};Impayés;
LETTRAGE;{};Lettrage;
LETTRAUTO;{};Lettrage automatique;
MESINT;{};Lancement interface MES;
MULTIWOX;{};Planification multi-niveaux;
PAYPROPAL;{};Proposition automatique;
POINTAGE;{};Pointage;
PROROG;{};Prorogation fournisseur;
PROROGC;{};Prorogation client;
RAPBAN;{};Rapprochement bancaire;
RELBANK;{};Importation relevé bancaire;
RETACC;{};Retour acceptation;
RPT02;{};Impression/groupe;
RPT03;{};Impression/groupe/compta;
RPT04;{};Impression/groupe/compta;
RPT06;{};Impression/groupe/compta;
RPT08;{};Impression/groupe/compta;
RPT10;{};Impression/groupe/compta;
RPT12;{};Impression/groupe/ventes;
RPT13;{};Impression/groupe/ventes;
RPT14;{};Impression/groupe/ventes;
RPT15;{};Impression/groupe/ventes;
RPT16;{};Impression/groupe/ventes;
RPT18;{};Impression/groupe/achats;
RPT19;{};Impression/groupe/achats;
RPT20;{};Impression/groupe/achats;
RPT21;{};Impression/groupe/achats;
RPT22;{};Impression/groupe/achats;
RPT25;{};Impression/groupe/stocks;
RPT26;{};Impression/groupe/stocks;
RPT27;{};Impression/groupe/stocks;
RPT28;{};Impression/groupe/stocks;
RPT29;{};Impression/groupe/stocks;
RPT31;{};Impression/groupe/production;
RPT32;{};Impression/groupe/production;
RPT33;{};Impression/groupe/production;
RPT34;{};Impression/groupe/production;
RPT35;{};Impression/groupe/production;
SUPPRCOMP;{};Suppression composants;
UTICHK;{};Pointage en partie simple;
VALPCE;{};Tâches comptables;
VALPORT;{};Dévalorisation des effets;
VISUBOMG;{};Nomenclatures multi niveaux;
VISUBOMROU;{};Recette;
VISUROUG;{};Gammes multi niveaux;
YINTFRPX3;{};Interfaçage FRP / X3;
YSFIINTER;{};Validation des fiches;
YSPL;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Suivi plannning de livraison;CMS
YVALID;{};Validation dépassement;
YX3EDI;{};Importation des fichiers EDI;
